title,date_release,img_url,number_of_tracks,main_track,desription
2 COOL 4 SKOOL,2013-06-13,https://i.scdn.co/image/ab67616d0000b273c7c7014c91ed63c909b50ef5,7,No More Dream,"This is the product of the firm conviction and passion of BTS that hip hop musicians must make their voices heard through their albums. Each member flexed their musical prowess by taking part in creating the lyrics and music for every song on the album. BTS has repeatedly said that “hip hop is genuine music for telling one’s own story,” and indeed the members rap about their own experiences and emotions. There is no discontinuity between the emotions and lyrics of BTS. The album is a satisfaction in both quality and quantity."
"O!RUL8,2?",2013-09-11,https://kmoon.it/cdn/shop/products/areyoulate2-697210.jpg?v=1605366274,10,N.O,"With O!RUL8,2? (Oh! Are you late, too?), BTS offers the message that “you must find your happiness and your own life before it’s too late.”
Lyrics that brutally lay open reality as it is deliver a bold admonition to a world that inflicts despair. Children are raised as studying machines without a chance to think about the future.
A world where classmates are not friends but competitors trying to trample each other. BTS sings about the wounds and anguish that such hopeless life has left on today’s teens. "
Skool Luv Affair,2014-02-12,https://i.scdn.co/image/ab67616d0000b273ab9433cc4b9cda9431be879a,10,Boy In Luv,"With their previous two albums, 2 COOL 4 SKOOL and O!RUL8,2?, BTS sang about the dreams and happiness of teens. The songs spoke about young people living without a dream and schools that force rigid and homogenous thought onto its students. The new album, released on February 12, continues to focus on school and teens. As hinted by the title, SKOOL LUV AFFAIR, the album’s main theme is the love that blossoms in the school. This album is a culmination of the “School Trilogy” project that discusses the topics of most interest to teens their own age—dreams, happiness and love. Such penetrating insight into the hearts and minds of young people led to the absolute support that BTS has received from fans their age. The members again directly participated in the making of the songs, vowing to ensure that the songs reflect the reality of the music fans of their own generation."
Dark & Wild,2014-08-20,https://nolae.it/cdn/shop/products/bts-dark-wild-697557_grande.jpg?v=1627918633,14,Danger,"The boys are no longer in their school uniforms. They have become tougher, singing that their love is not to be treated lightly. A year and two months into their debut, BTS made sure that the visuals, performance and all the elements of their first studio album are flawless. Tracks that highlight the different genres of hip hop—South, West, Boom Bap and Trap—provide a clear direction of BTS' music. The title track “Danger” is a tightly-composed hybrid hip hop song with a piercing punk-rock guitar sound that features stark rap, a powerful hook and exhilarating shouting."
"The Most Beautiful Moment in Life, Pt. 1",2015-04-29,https://kmoon.it/cdn/shop/products/the-most-beautiful-moment-in-life-pt1-856947.jpg?v=1605366291,9,I Need U,"o longer just young boys, the album is an introduction to BTS as a group that continues to grow and develop. In each track are distilled poetic and pop emotions that allows the listener to sense both the soft and the resounding musical transformation of the group.
After successfully concluding the “School Trilogy” that discusses the main topics of interest for teens—dreams, happiness and love—the new album begins to discuss “youth”. BTS has chosen the theme of “the most beautiful moment in life”, the start of one’s young adulthood in which beauty coexists with uncertainty.
The most beautiful moment in life pt.1 focuses on the uncertain future more than the glamour of youth. In addition, while previous lyrical work had been credited to the rappers (RM, SUGA and j-hope), the vocal members (Jin, Jimin, V, Jung Kook) have now added their names to the credits for this album’s producing and songwriting."
"The Most Beautiful Moment in Life, Pt. 2",2015-11-30,"https://m.media-amazon.com/images/I/41zjfM4LfnL._AC_UF894,1000_QL80_.jpg",9,Run,"Seven young men on the threshold of their 20s. Now entering their young adulthood, the members of BTS sang in their previous album, The most beautiful moment in life pt.1, about people their age being threatened by uncertainty. Released seven months after that first installment, The most beautiful moment in life pt.2 sings about the energy of youth barreling forward, embracing even the uncertainty and insecurity. Now beginning to taste the bitterness of grown-up life, they can easily sense that life isn't always beautiful. However, they continue to sprint forward, relying only on their two destitute legs and the fire in their hearts. There’s nothing else to do but keep running. Facing the powerlessness of one’s youth, they collide and shatter and still cry out that “it’s okay to fall, it’s okay to get hurt.” That is the beauty of this moment.
Continuing the tradition of the previous album, the members including RM, SUGA, j-hope, V and Jung Kook add their names to the producing and songwriting credits, showing their own growth as musicians. The lyrics are more profound and the music more passionate. The “Youth Series” concludes with The most beautiful moment in life pt.2, but the boys are only now on the starting line. “Never Mind”, BTS is just getting started."
"The Most Beautiful Moment in Life, Young Forever",2016-05-02,https://i.scdn.co/image/ab67616d0000b273c6dbc63cf145b4ff6bee3322,23,Fire,"The final chapter of the story of The most beautiful moment in life

Having won over the world with their two-part The most beautiful moment in life series in 2015, BTS will release their special album The most beautiful moment in life : YOUNG FOREVER on May 2. True to the title of the albums, the series has enabled BTS to now be in the most beautiful moment of their lives. The most beautiful moment in life : YOUNG FOREVER is a special album that marks the conclusion of the epic journey of the series, containing the last stories told by young people who, despite an uncertain and insecure reality (The most beautiful moment in life pt.1) continue to surge forward (The most beautiful moment in life pt.2)."
Wings,2016-10-10,https://kmoon.it/cdn/shop/products/WINGScover-448854.jpg?v=1605366273,15,"Blood,Sweat and Tears","BTS will release their second studio album, WINGS.
Having met their most beautiful moment in life through the ablum series of the same title, BTS now stands before a new door. Set for release on October 10, WINGS contains songs about boys who encounter temptation for the first time and must ponder and agonize in the face of it. As the seven boys experience pain and bliss, they bring forth the image of birds that break out of their shells and try to take flight for the first time."
You Never Walk Alone,2017-02-13,https://ipurple.eu/951-large_default/bts-non-cammini-mai-da-solo.jpg,18,Not Today,"The epilogue brings closure to WINGS.
“We can laugh if we are together”, a message of comfort and hope to the youth of this generation.

YOU NEVER WALK ALONE completes the stories of youth and growth that could not all be contained in the WINGS album. Whereas The most beautiful moment in life series and WINGS were narratives of youth and growth, this additional chapter to WINGS is a message of warm consolation and hope for the suffering youth of this generation."
"Love Yourself, Her",2017-09-18,"https://images-eu.ssl-images-amazon.com/images/I/61OTozwevnL._AC_UL210_SR210,210_.jpg",9,DNA,"Loving yourself is the beginning of true love,
All the different faces of love expressed through the signature music of BTS!

On September 18, BTS will release 承 'HER', the first album in the new LOVE YOURSELF series.

LOVE YOURSELF 承 'HER' is an expression of the anxiety and elation of love, told in the unique style of BTS. The “love” that BTS aims to convey in the LOVE YOURSELF series is both the individual experience of a boy growing into adulthood and a message of peace and unity to our society today. In the mini album 承 'HER' that begins this new narrative, the image of boys in love for the first time are expressed in a refreshing and cheerful take that aims to talk about the topic of “love” while immersed in a coming-of-age tale."
